Carimbo de data/hora,"Quando não há documentação, como novos membros da equipe ou colaboradores externos são integrados ao projeto?",O que ocasionou a ausência de documentação e quais os impactos disso na equipe?,"Se pudesse mudar algo na forma como a documentação é produzida, organizada ou acessada, o que seria mais importante pra você?"
29/11/2024 11:29:49,Alguém da equipe se dispõe a ensinar o básico aos novos integrantes," Acredito que tenha sido sobrecarga sobre os tech leads/arquitetos. Impacta muitas vezes em nosso dia a dia, pois precisamos ficar entrando em contato com eles para tirar pequenas duvidas ",A produção e organização
02/12/2024 10:22:32,"Com overview da aplicação e explicação em reall time. Outras vezes acontece de ter uma reunião gravada onde já foi explicado aquele assunto, então se pede para que o novo colaborador assista aos vídeos e qualquer dúvida podes tirar com time.","Entendimento errado de escopo, mais demora para entendimento do sistema e desencontro nas informações devido a não ter nada documentado, acaba virando aquele “disse me disse” ou o famoso “ Eu entendi que era pra fazer assim ou o funcionamento seria “assado”…","Documentação deve ser simples e objetiva, sem muito “oba oba” pois se torna um documento extenso e muito nem irão ler por cansado e desgaste, então o ideal é que a docuseja simples e objetiva, simples não quer dizer que tenha que ter só metade das funcionalidade, simples quer dizer que pelo menos tenha todas as funcionalidades que serão tratadas e com detalhes objetivos do que cada uma faz sem necessidade de enfeitar muito.
E a documentação pode estar em um drivers virtual para que todos tenham acesso, contendo uma nomenclatura ideal do que se trata a doc. Para que seja encontrado k mais rápido possível."
02/12/2024 10:24:50,Os devs mais antigos precisam passar para ele o conhecimento.,"Por ser passada via ""Boca a Boca"", fica muito fácil de perder coisas importantes, que para alguém que já tá na equipe há um tempo parece obvio, mas para quem entra talvez não seja tão obvio assim","Com o máximo de detalhes possíveis, pois além de ajudar quem entra, também nos ajuda muito no dia a dia"
02/12/2024 10:26:39,Alguém da equipe que estiver com menor carga de trabalho no momento apresenta o quadro geral de forma mais informal,Faz o desenvolvedor final da feature precisar aprofundar um pouco mais nas necessidades do projeto. Ao longo do desenvolvimento o desenvolvedor precisa ter mais contato que o costumeiro com os tech leads para garantir aderência do que está desenvolvendo em relação as demais expectativas do projeto  ,"A produção da documentação pesa mais nos tech leads, o que sobrecarrega um pouco as pessoas nas funções. Talvez distribuir a composição das documentações e deixar os tech leads como revisores dos materiais não produzidos por eles"
02/12/2024 10:28:02,"Com a passagem de conhecimento de outros integrantes da equipe de maneira verbal ou escrita, estudo de código e revisão massiva dos componentes do sistema. ",Falta de planejamento e tempo para a produção de documentação. ,"A documentação deveria ser produzida de maneira iterativa, junto com as tarefas, garantindo o tempo necessário para sua produção. "
02/12/2024 11:46:45,Funcionários mais antigos da casa se responsabilizam por ensinar e tirar dúvidas dos mais novos. Rotinas bem escritas também servem como material para transmitir conhecimento.,"Pressa para entregar. O impacto é negativo, pois após algum tempo acaba sendo necessário analisar a rotina para compreender o que deveria ocorrer","Explicar quais são a propriedades da rotina/classe, e o que os retornos significam"
02/12/2024 13:19:44,Minha abordagem é fazer código review e documentar os pontos criticos. ,O pouco tempo para implementação de uma arquitetura adequada. ,Tempo adequado para levantar os pontos da aplicação. Colaboração de todos em que participaram da criação do software para colaborar em parte com a documentação. Levantamento e analise de todos pontos criticos envolvidos. 
03/12/2024 20:57:58,Através de reuniões de repasse. Costumo aproveitar para gravar esses encontros a fim de gerar algum tipo de documentação.,Fluxo de trabalho não prevê documentação formal de forma que essa atividade não é priorizada.,"Nas experiências que tive, o uso de “documentação viva”, através da implementação de testes automatizados, gerou o impacto mais positivo na qualidade do projeto e constante atualização da documentação."
03/12/2024 21:12:49,Um funcionário mais experiente explica as coisas necessárias ,"Falta de planejamento, gestão não considera o tempo de documentação no desenvolvimento. Cultura da empresa.",Criar cards no jira para fazer exclusivamente a documentação. Ter q cultura de acessar a documentação antes de perguntar. Documentação de fácil acesso.
03/12/2024 21:33:16,"Através de reuniões pontuais ou conversas em paralelo com colaboradores mais antigo que detém o conhecimento para si. Através dessas interações, permitem capturar informações sobre o negócio, processos e questões técnicas.",A velha máxima de que tudo é urgente. Os impactos são a falta de difusão do conhecimento entre as áreas envolvidas e perda de histórico das mudanças.,"O primeiro ponto é entender que documentar não é perda de tempo. Um fluxo macro do que é para ser feito já ajuda e muito. Muitas das vezes a falta de entendimento de como as coisas são interligadas, geram uma perda de tempo, gerando retrabalho e discussões improdutivas. O mais importante é mudar a cabeça das pessoas sobre como um requisito deve ser descrito, é convencer a geração mais antiga, que nem tudo é cumprir missão, é preciso planejamento de verdade e não de mentirinha, para no final dizer que o projeto foi bem sucedido, porque foi entregue, sem mensurar as arranhaduras,  perdas financeiras e de imagem da empresa."
04/12/2024 09:32:28,"Sem documentação posemos aplicar as seguintes tecnicas:
Acompanhamento direto de membro experiente, reuniões introdutórias, documentação informal(emails, mensagens..) e exploração pratica.","Causa: 
Prazos apertados:, falta de processos, Rotatividade na equipe, Desorganização.
Impacto:
Dificuldade na integração,, Dependência de indivíduos, Risco de retrabalho e Baixa escalabilidade. ","O mais importante seria implementar uma documentação simples, colaborativa e acessível. 
O foco seria criar um sistema que não torne a documentação um fardo, mas sim um recurso útil e eficiente."
04/12/2024 11:12:03,A partir de treinamento,A falta de prazo para que os desenvolvedores possam criar a documentação.,"Estruturas da documentação.
Documentação mais simples e com espaços para um histórico técnico, já que muitos detalhes técnicos ficam na cabeça do desenvolvedor e os novos integrantes não conseguem ter uma visão clara do que esta se passando."
10/12/2024 09:40:57,"Com a aplicação de treinamentos, mas sempre gerando questionamentos no decorrer do aprendizado.","Por economia em projetos ágeis ou por excesso de alterações feitas pelo cliente durante o projeto, que resulta em documentos desatualizados.",Acesso a um manual na propria tela do sistema que esteja conhecendo e também um banco de questões e vídeos.
10/12/2024 09:46:17,Por e-mail.,"O prazo de entrega do projeto não ia ser possível concluir caso fosse criado a documentação. O impacto é que caso o projeto precise de alguma manutenção, vai ser necessário ter alguém que foi envolvido diretamente ou indiretamente naquele projeto para auxiliar na correção/melhoria.","Na organização, facilita e acelera o trabalho de ambos os integrantes da equipe."
10/12/2024 11:02:29,Sim ,Custo benefício para não realizar a documentação e o que pode ocorrer o impacto e na verificação de regras do projeto ,Detalhamento de cada regra do projeto 
